assertion_id,pathway_id,node_ref,element_type,element_name,slot,mods,mode,flags,assertion_class,schedule_bearing,library_value
ddac-t:pathway:sequence,ddac-t,pathway,pathway,"Surgery, dose-dense AC then weekly paclitaxel",Sequence of steps,,,,sequence,N,"Surgery -> Healing after surgery -> Doxorubicin + cyclophosphamide (dose-dense AC) -> Paclitaxel -> Radiation (if recommended) -> Hormone (endocrine) therapy, if hormone-receptor positive"
ddac-t-hr:n0:procedure_identity,ddac-t-hr,n0,procedure,Surgery,Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery {Surgery}
ddac-t-hr:n1:interval_duration,ddac-t-hr,n1,interval,Healing after surgery,Interval: Healing after surgery,,,,interval_duration,Y,4 weeks (Healing after surgery)
ddac-t-hr:n2:agents,ddac-t-hr,n2,phase,Doxorubicin + cyclophosphamide (dose-dense AC),Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,agents,Y,Doxorubicin + cyclophosphamide (dose-dense AC) [Doxorubicin + cyclophosphamide] {Chemotherapy}
ddac-t-hr:n2:cycle_length,ddac-t-hr,n2,phase,Doxorubicin + cyclophosphamide (dose-dense AC),Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,cycle_length,Y,14 days
ddac-t-hr:n2:n_cycles,ddac-t-hr,n2,phase,Doxorubicin + cyclophosphamide (dose-dense AC),Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,n_cycles,Y,4
ddac-t-hr:n3:agents,ddac-t-hr,n3,phase,Paclitaxel,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,agents,Y,Paclitaxel [Paclitaxel] {Chemotherapy}
ddac-t-hr:n3:cycle_length,ddac-t-hr,n3,phase,Paclitaxel,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,cycle_length,Y,7 days
ddac-t-hr:n3:n_cycles,ddac-t-hr,n3,phase,Paclitaxel,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,n_cycles,Y,12
ddac-t-hr:n4:agents,ddac-t-hr,n4,phase,Radiation (if recommended),Phase 3 (Radiation; weekdays),Radiation,weekdays,optional,agents,Y,Radiation (if recommended) [Radiation] {Radiation}
ddac-t-hr:n5:agents,ddac-t-hr,n5,phase,Hormone (endocrine) therapy,Phase 4 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,,agents,Y,Hormone (endocrine) therapy [Hormone tablet] {Hormone (endocrine) therapy}
ddac-t-hr:n5:duration,ddac-t-hr,n5,phase,Hormone (endocrine) therapy,Phase 4 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,,duration,Y,260 weeks (daily)
ddac-t-hr:pathway:sequence,ddac-t-hr,pathway,pathway,"Surgery, dose-dense AC then weekly paclitaxel, then endocrine therapy",Sequence of steps,,,,sequence,N,Surgery -> Healing after surgery -> Doxorubicin + cyclophosphamide (dose-dense AC) -> Paclitaxel -> Radiation (if recommended) -> Hormone (endocrine) therapy
tc4:n0:procedure_identity,tc4,n0,procedure,Surgery,Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery {Surgery}
tc4:n1:interval_duration,tc4,n1,interval,Healing after surgery,Interval: Healing after surgery,,,,interval_duration,Y,4 weeks (Healing after surgery)
tc4:n2:agents,tc4,n2,phase,Docetaxel + cyclophosphamide (TC),Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,agents,Y,Docetaxel + cyclophosphamide (TC) [Docetaxel + cyclophosphamide] {Chemotherapy}
tc4:n2:cycle_length,tc4,n2,phase,Docetaxel + cyclophosphamide (TC),Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,cycle_length,Y,21 days
tc4:n2:n_cycles,tc4,n2,phase,Docetaxel + cyclophosphamide (TC),Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,n_cycles,Y,4
tc4:n3:agents,tc4,n3,phase,Radiation (if recommended),Phase 2 (Radiation; weekdays),Radiation,weekdays,optional,agents,Y,Radiation (if recommended) [Radiation] {Radiation}
tc4:n4:agents,tc4,n4,phase,"Hormone (endocrine) therapy, if hormone-receptor positive",Phase 3 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,optional; off by default,agents,Y,"Hormone (endocrine) therapy, if hormone-receptor positive [Hormone tablet] {Hormone (endocrine) therapy}"
tc4:n4:duration,tc4,n4,phase,"Hormone (endocrine) therapy, if hormone-receptor positive",Phase 3 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,optional; off by default,duration,Y,260 weeks (daily)
tc4:pathway:sequence,tc4,pathway,pathway,"Surgery, then docetaxel + cyclophosphamide ×4 (TC)",Sequence of steps,,,,sequence,N,"Surgery -> Healing after surgery -> Docetaxel + cyclophosphamide (TC) -> Radiation (if recommended) -> Hormone (endocrine) therapy, if hormone-receptor positive"
kn522:n0:agents,kn522,n0,phase,Paclitaxel + carboplatin + pembrolizumab (Keytruda),Phase 1 (Chemotherapy; Immunotherapy; cycles),Chemotherapy; Immunotherapy,cycles,,agents,Y,Paclitaxel + carboplatin + pembrolizumab (Keytruda) [Carbo + paclitaxel + immunotherapy] {Chemotherapy; Immunotherapy}
kn522:n0:cycle_length,kn522,n0,phase,Paclitaxel + carboplatin + pembrolizumab (Keytruda),Phase 1 (Chemotherapy; Immunotherapy; cycles),Chemotherapy; Immunotherapy,cycles,,cycle_length,Y,21 days
kn522:n0:n_cycles,kn522,n0,phase,Paclitaxel + carboplatin + pembrolizumab (Keytruda),Phase 1 (Chemotherapy; Immunotherapy; cycles),Chemotherapy; Immunotherapy,cycles,,n_cycles,Y,4
kn522:n0:visit_days,kn522,n0,phase,Paclitaxel + carboplatin + pembrolizumab (Keytruda),Phase 1 (Chemotherapy; Immunotherapy; cycles),Chemotherapy; Immunotherapy,cycles,,visit_days,Y,"day 1: Paclitaxel, carboplatin, and pembrolizumab | day 8: Paclitaxel and carboplatin | day 15: Paclitaxel and carboplatin"
kn522:n1:agents,kn522,n1,phase,Doxorubicin (or epirubicin) + cyclophosphamide + pembrolizumab,Phase 2 (Chemotherapy; Immunotherapy; cycles),Chemotherapy; Immunotherapy,cycles,,agents,Y,Doxorubicin (or epirubicin) + cyclophosphamide + pembrolizumab [AC + immunotherapy] {Chemotherapy; Immunotherapy}
kn522:n1:cycle_length,kn522,n1,phase,Doxorubicin (or epirubicin) + cyclophosphamide + pembrolizumab,Phase 2 (Chemotherapy; Immunotherapy; cycles),Chemotherapy; Immunotherapy,cycles,,cycle_length,Y,21 days
kn522:n1:n_cycles,kn522,n1,phase,Doxorubicin (or epirubicin) + cyclophosphamide + pembrolizumab,Phase 2 (Chemotherapy; Immunotherapy; cycles),Chemotherapy; Immunotherapy,cycles,,n_cycles,Y,4
kn522:n1:visit_days,kn522,n1,phase,Doxorubicin (or epirubicin) + cyclophosphamide + pembrolizumab,Phase 2 (Chemotherapy; Immunotherapy; cycles),Chemotherapy; Immunotherapy,cycles,,visit_days,Y,"day 1: Doxorubicin, cyclophosphamide, and pembrolizumab"
kn522:n2:interval_duration,kn522,n2,interval,Recovery before surgery,Interval: Recovery before surgery,,,,interval_duration,Y,4 weeks (Recovery before surgery)
kn522:n3:procedure_identity,kn522,n3,procedure,Surgery,Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery {Surgery}
kn522:n4:interval_duration,kn522,n4,interval,Healing after surgery,Interval: Healing after surgery,,,,interval_duration,Y,5 weeks (Healing after surgery)
kn522:n5:decision_condition,kn522,n5,decision,Pathology results,Decision 1,,,,decision_condition,N,What did the pathology report show?
kn522:n5:branch_set,kn522,n5,decision,Pathology results,Decision 1,,,,branch_set,N,No remaining cancer (complete response) | Some cancer remained
kn522:n5.b0.n0:agents,kn522,n5.b0.n0,phase,Pembrolizumab (Keytruda),Phase 3 (Immunotherapy; cycles) [branch: No remaining cancer (complete response)],Immunotherapy,cycles,,agents,Y,Pembrolizumab (Keytruda) [Pembrolizumab] {Immunotherapy} [branch: No remaining cancer (complete response)]
kn522:n5.b0.n0:cycle_length,kn522,n5.b0.n0,phase,Pembrolizumab (Keytruda),Phase 3 (Immunotherapy; cycles) [branch: No remaining cancer (complete response)],Immunotherapy,cycles,,cycle_length,Y,21 days
kn522:n5.b0.n0:n_cycles,kn522,n5.b0.n0,phase,Pembrolizumab (Keytruda),Phase 3 (Immunotherapy; cycles) [branch: No remaining cancer (complete response)],Immunotherapy,cycles,,n_cycles,Y,9
kn522:n5.b0.n1:agents,kn522,n5.b0.n1,phase,Radiation (if recommended),Phase 4 (Radiation; weekdays) [branch: No remaining cancer (complete response)],Radiation,weekdays,optional; concurrent,agents,Y,Radiation (if recommended) [Radiation] {Radiation} [branch: No remaining cancer (complete response)]
kn522:n5.b1.n0:agents,kn522,n5.b1.n0,phase,Pembrolizumab (Keytruda),Phase 5 (Immunotherapy; cycles) [branch: Some cancer remained],Immunotherapy,cycles,,agents,Y,Pembrolizumab (Keytruda) [Pembrolizumab] {Immunotherapy} [branch: Some cancer remained]
kn522:n5.b1.n0:cycle_length,kn522,n5.b1.n0,phase,Pembrolizumab (Keytruda),Phase 5 (Immunotherapy; cycles) [branch: Some cancer remained],Immunotherapy,cycles,,cycle_length,Y,21 days
kn522:n5.b1.n0:n_cycles,kn522,n5.b1.n0,phase,Pembrolizumab (Keytruda),Phase 5 (Immunotherapy; cycles) [branch: Some cancer remained],Immunotherapy,cycles,,n_cycles,Y,9
kn522:n5.b1.n1:agents,kn522,n5.b1.n1,phase,Radiation (if recommended),Phase 6 (Radiation; weekdays) [branch: Some cancer remained],Radiation,weekdays,optional; concurrent,agents,Y,Radiation (if recommended) [Radiation] {Radiation} [branch: Some cancer remained]
kn522:n5.b1.n2:agents,kn522,n5.b1.n2,phase,Capecitabine (oral chemotherapy),Phase 7 (Chemotherapy; cycles) [branch: Some cancer remained],Chemotherapy,cycles,optional; concurrent,agents,Y,Capecitabine (oral chemotherapy) [Capecitabine tablets] {Chemotherapy} [branch: Some cancer remained]
kn522:n5.b1.n2:cycle_length,kn522,n5.b1.n2,phase,Capecitabine (oral chemotherapy),Phase 7 (Chemotherapy; cycles) [branch: Some cancer remained],Chemotherapy,cycles,optional; concurrent,cycle_length,Y,21 days
kn522:n5.b1.n2:n_cycles,kn522,n5.b1.n2,phase,Capecitabine (oral chemotherapy),Phase 7 (Chemotherapy; cycles) [branch: Some cancer remained],Chemotherapy,cycles,optional; concurrent,n_cycles,Y,8
kn522:n5.b1.n2:visit_days,kn522,n5.b1.n2,phase,Capecitabine (oral chemotherapy),Phase 7 (Chemotherapy; cycles) [branch: Some cancer remained],Chemotherapy,cycles,optional; concurrent,visit_days,Y,"day 1: Start 14 days of capecitabine tablets, then 7 days off"
kn522:pathway:sequence,kn522,pathway,pathway,"KEYNOTE-522: chemo + pembrolizumab, surgery, pembrolizumab (+ capecitabine per CREATE-X if cancer remains)",Sequence of steps,,,,sequence,N,Paclitaxel + carboplatin + pembrolizumab (Keytruda) -> Doxorubicin (or epirubicin) + cyclophosphamide + pembrolizumab -> Recovery before surgery -> Surgery -> Healing after surgery -> Decision(Pathology results){No remaining cancer (complete response): [Pembrolizumab (Keytruda) -> Radiation (if recommended)]; Some cancer remained: [Pembrolizumab (Keytruda) -> Radiation (if recommended) -> Capecitabine (oral chemotherapy)]}
apt:n0:procedure_identity,apt,n0,procedure,Surgery,Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery {Surgery}
apt:n1:interval_duration,apt,n1,interval,Healing after surgery,Interval: Healing after surgery,,,,interval_duration,Y,4 weeks (Healing after surgery)
apt:n2:agents,apt,n2,phase,Paclitaxel + trastuzumab,Phase 1 (Chemotherapy; Targeted therapy; cycles),Chemotherapy; Targeted therapy,cycles,,agents,Y,Paclitaxel + trastuzumab [Paclitaxel + trastuzumab] {Chemotherapy; Targeted therapy}
apt:n2:cycle_length,apt,n2,phase,Paclitaxel + trastuzumab,Phase 1 (Chemotherapy; Targeted therapy; cycles),Chemotherapy; Targeted therapy,cycles,,cycle_length,Y,7 days
apt:n2:n_cycles,apt,n2,phase,Paclitaxel + trastuzumab,Phase 1 (Chemotherapy; Targeted therapy; cycles),Chemotherapy; Targeted therapy,cycles,,n_cycles,Y,12
apt:n2:visit_days,apt,n2,phase,Paclitaxel + trastuzumab,Phase 1 (Chemotherapy; Targeted therapy; cycles),Chemotherapy; Targeted therapy,cycles,,visit_days,Y,day 1: Paclitaxel and trastuzumab
apt:n3:agents,apt,n3,phase,Trastuzumab,Phase 2 (Targeted therapy; cycles),Targeted therapy,cycles,,agents,Y,Trastuzumab [Trastuzumab] {Targeted therapy}
apt:n3:cycle_length,apt,n3,phase,Trastuzumab,Phase 2 (Targeted therapy; cycles),Targeted therapy,cycles,,cycle_length,Y,21 days
apt:n3:n_cycles,apt,n3,phase,Trastuzumab,Phase 2 (Targeted therapy; cycles),Targeted therapy,cycles,,n_cycles,Y,13
apt:n4:agents,apt,n4,phase,Radiation (if recommended),Phase 3 (Radiation; weekdays),Radiation,weekdays,optional; concurrent,agents,Y,Radiation (if recommended) [Radiation] {Radiation}
apt:n5:agents,apt,n5,phase,"Hormone (endocrine) therapy, if hormone-receptor positive",Phase 4 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,optional; off by default; concurrent,agents,Y,"Hormone (endocrine) therapy, if hormone-receptor positive [Hormone tablet] {Hormone (endocrine) therapy}"
apt:n5:duration,apt,n5,phase,"Hormone (endocrine) therapy, if hormone-receptor positive",Phase 4 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,optional; off by default; concurrent,duration,Y,260 weeks (daily)
apt:pathway:sequence,apt,pathway,pathway,"APT: surgery, weekly paclitaxel + trastuzumab, then trastuzumab",Sequence of steps,,,,sequence,N,"Surgery -> Healing after surgery -> Paclitaxel + trastuzumab -> Trastuzumab -> Radiation (if recommended) -> Hormone (endocrine) therapy, if hormone-receptor positive"
endo:n0:procedure_identity,endo,n0,procedure,Surgery,Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery {Surgery}
endo:n1:interval_duration,endo,n1,interval,Healing after surgery,Interval: Healing after surgery,,,,interval_duration,Y,4 weeks (Healing after surgery)
endo:n2:agents,endo,n2,phase,Radiation (if recommended),Phase 1 (Radiation; weekdays),Radiation,weekdays,optional,agents,Y,Radiation (if recommended) [Radiation] {Radiation}
endo:n3:agents,endo,n3,phase,Hormone (endocrine) therapy,Phase 2 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,,agents,Y,Hormone (endocrine) therapy [Hormone tablet] {Hormone (endocrine) therapy}
endo:n3:duration,endo,n3,phase,Hormone (endocrine) therapy,Phase 2 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,,duration,Y,260 weeks (daily)
endo:pathway:sequence,endo,pathway,pathway,"Surgery, radiation, endocrine therapy only",Sequence of steps,,,,sequence,N,Surgery -> Healing after surgery -> Radiation (if recommended) -> Hormone (endocrine) therapy
tc4-hr:n0:procedure_identity,tc4-hr,n0,procedure,Surgery,Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery {Surgery}
tc4-hr:n1:interval_duration,tc4-hr,n1,interval,Healing after surgery,Interval: Healing after surgery,,,,interval_duration,Y,4 weeks (Healing after surgery)
tc4-hr:n2:agents,tc4-hr,n2,phase,Docetaxel + cyclophosphamide (TC),Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,agents,Y,Docetaxel + cyclophosphamide (TC) [Docetaxel + cyclophosphamide] {Chemotherapy}
tc4-hr:n2:cycle_length,tc4-hr,n2,phase,Docetaxel + cyclophosphamide (TC),Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,cycle_length,Y,21 days
tc4-hr:n2:n_cycles,tc4-hr,n2,phase,Docetaxel + cyclophosphamide (TC),Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,n_cycles,Y,4
tc4-hr:n3:agents,tc4-hr,n3,phase,Radiation (if recommended),Phase 2 (Radiation; weekdays),Radiation,weekdays,optional,agents,Y,Radiation (if recommended) [Radiation] {Radiation}
tc4-hr:n4:agents,tc4-hr,n4,phase,Hormone (endocrine) therapy,Phase 3 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,,agents,Y,Hormone (endocrine) therapy [Hormone tablet] {Hormone (endocrine) therapy}
tc4-hr:n4:duration,tc4-hr,n4,phase,Hormone (endocrine) therapy,Phase 3 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,,duration,Y,260 weeks (daily)
tc4-hr:pathway:sequence,tc4-hr,pathway,pathway,"Surgery, then docetaxel + cyclophosphamide ×4 (TC), then endocrine therapy",Sequence of steps,,,,sequence,N,Surgery -> Healing after surgery -> Docetaxel + cyclophosphamide (TC) -> Radiation (if recommended) -> Hormone (endocrine) therapy
anal:n0:agents,anal,n0,phase,Chemoradiation (mitomycin + 5-FU or capecitabine),Phase 1 (Radiation; Chemotherapy; weekdays),Radiation; Chemotherapy,weekdays,,agents,Y,Chemoradiation (mitomycin + 5-FU or capecitabine) [Radiation + mitomycin/5-FU] {Radiation; Chemotherapy}
anal:n0:duration,anal,n0,phase,Chemoradiation (mitomycin + 5-FU or capecitabine),Phase 1 (Radiation; Chemotherapy; weekdays),Radiation; Chemotherapy,weekdays,,duration,Y,6 weeks (weekdays)
anal:n1:interval_duration,anal,n1,interval,Healing and response checks,Interval: Healing and response checks,,,,interval_duration,Y,20 weeks (Healing and response checks)
anal:n2:decision_condition,anal,n2,decision,Response at 26 weeks,Decision 1,,,,decision_condition,N,Has the cancer completely disappeared?
anal:n2:branch_set,anal,n2,decision,Response at 26 weeks,Decision 1,,,,branch_set,N,Complete response | Cancer remains
anal:n2.b0.n0:agents,anal,n2.b0.n0,phase,Surveillance,Phase 2 (Surveillance; ongoing) [branch: Complete response],Surveillance,ongoing,open-ended,agents,Y,Surveillance [Surveillance] {Surveillance} [branch: Complete response]
anal:n2.b0.n0:frequency_text,anal,n2.b0.n0,phase,Surveillance,Phase 2 (Surveillance; ongoing) [branch: Complete response],Surveillance,ongoing,open-ended,frequency_text,N,Exam every 3 to 6 months for 5 years
anal:n2.b1.n0:procedure_identity,anal,n2.b1.n0,procedure,Surgery (abdominoperineal resection),Procedure (Surgery) [branch: Cancer remains],Surgery,,,procedure_identity,N,Surgery (abdominoperineal resection) {Surgery} [branch: Cancer remains]
anal:n2.b1.n1:interval_duration,anal,n2.b1.n1,interval,Healing after surgery,Interval: Healing after surgery [branch: Cancer remains],,,,interval_duration,Y,8 weeks (Healing after surgery) [branch: Cancer remains]
anal:pathway:sequence,anal,pathway,pathway,"Anal canal: chemoradiation, response assessment, salvage surgery only if needed",Sequence of steps,,,,sequence,N,Chemoradiation (mitomycin + 5-FU or capecitabine) -> Healing and response checks -> Decision(Response at 26 weeks){Complete response: [Surveillance]; Cancer remains: [Surgery (abdominoperineal resection) -> Healing after surgery]}
tnt-lcrt:n0:agents,tnt-lcrt,n0,phase,Chemoradiation (long course),Phase 1 (Radiation; Chemotherapy; weekdays),Radiation; Chemotherapy,weekdays,,agents,Y,Chemoradiation (long course) [Chemoradiation] {Radiation; Chemotherapy}
tnt-lcrt:n0:duration,tnt-lcrt,n0,phase,Chemoradiation (long course),Phase 1 (Radiation; Chemotherapy; weekdays),Radiation; Chemotherapy,weekdays,,duration,Y,6 weeks (weekdays)
tnt-lcrt:n1:interval_duration,tnt-lcrt,n1,interval,Recovery,Interval: Recovery,,,,interval_duration,Y,2 weeks (Recovery)
tnt-lcrt:n2:agents,tnt-lcrt,n2,phase,FOLFOX chemotherapy,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,agents,Y,FOLFOX chemotherapy [FOLFOX] {Chemotherapy}
tnt-lcrt:n2:cycle_length,tnt-lcrt,n2,phase,FOLFOX chemotherapy,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,cycle_length,Y,14 days
tnt-lcrt:n2:n_cycles,tnt-lcrt,n2,phase,FOLFOX chemotherapy,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,n_cycles,Y,3
tnt-lcrt:n3:interval_duration,tnt-lcrt,n3,interval,Recovery before surgery,Interval: Recovery before surgery,,,,interval_duration,Y,4 weeks (Recovery before surgery)
tnt-lcrt:n4:procedure_identity,tnt-lcrt,n4,procedure,Surgery (total mesorectal excision),Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery (total mesorectal excision) {Surgery}
tnt-lcrt:n5:interval_duration,tnt-lcrt,n5,interval,Healing after surgery,Interval: Healing after surgery,,,,interval_duration,Y,6 weeks (Healing after surgery)
tnt-lcrt:n6:agents,tnt-lcrt,n6,phase,Surveillance,Phase 3 (Surveillance; ongoing),Surveillance,ongoing,open-ended,agents,Y,Surveillance [Surveillance] {Surveillance}
tnt-lcrt:n6:frequency_text,tnt-lcrt,n6,phase,Surveillance,Phase 3 (Surveillance; ongoing),Surveillance,ongoing,open-ended,frequency_text,N,"Visits, blood tests, and scans every 3 to 6 months"
tnt-lcrt:pathway:sequence,tnt-lcrt,pathway,pathway,"Long-course chemoradiation and chemotherapy before surgery, then rectal resection",Sequence of steps,,,,sequence,N,Chemoradiation (long course) -> Recovery -> FOLFOX chemotherapy -> Recovery before surgery -> Surgery (total mesorectal excision) -> Healing after surgery -> Surveillance
flot:n0:agents,flot,n0,phase,FLOT chemotherapy,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,agents,Y,FLOT chemotherapy [FLOT] {Chemotherapy}
flot:n0:cycle_length,flot,n0,phase,FLOT chemotherapy,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,cycle_length,Y,14 days
flot:n0:n_cycles,flot,n0,phase,FLOT chemotherapy,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,n_cycles,Y,4
flot:n0:visit_days,flot,n0,phase,FLOT chemotherapy,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,visit_days,Y,"day 1: Docetaxel, oxaliplatin, leucovorin, then a 5-FU pump worn home for 24 hours"
flot:n1:agents,flot,n1,phase,Durvalumab (Imfinzi),Phase 2 (Immunotherapy; cycles),Immunotherapy,cycles,optional; concurrent,agents,Y,Durvalumab (Imfinzi) [Durvalumab] {Immunotherapy}
flot:n1:cycle_length,flot,n1,phase,Durvalumab (Imfinzi),Phase 2 (Immunotherapy; cycles),Immunotherapy,cycles,optional; concurrent,cycle_length,Y,28 days
flot:n1:n_cycles,flot,n1,phase,Durvalumab (Imfinzi),Phase 2 (Immunotherapy; cycles),Immunotherapy,cycles,optional; concurrent,n_cycles,Y,2
flot:n2:interval_duration,flot,n2,interval,Recovery before surgery,Interval: Recovery before surgery,,,,interval_duration,Y,5 weeks (Recovery before surgery)
flot:n3:procedure_identity,flot,n3,procedure,Surgery (gastrectomy),Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery (gastrectomy) {Surgery}
flot:n4:interval_duration,flot,n4,interval,Healing after surgery,Interval: Healing after surgery,,,,interval_duration,Y,7 weeks (Healing after surgery)
flot:n5:agents,flot,n5,phase,FLOT chemotherapy,Phase 3 (Chemotherapy; cycles),Chemotherapy,cycles,,agents,Y,FLOT chemotherapy [FLOT] {Chemotherapy}
flot:n5:cycle_length,flot,n5,phase,FLOT chemotherapy,Phase 3 (Chemotherapy; cycles),Chemotherapy,cycles,,cycle_length,Y,14 days
flot:n5:n_cycles,flot,n5,phase,FLOT chemotherapy,Phase 3 (Chemotherapy; cycles),Chemotherapy,cycles,,n_cycles,Y,4
flot:n5:visit_days,flot,n5,phase,FLOT chemotherapy,Phase 3 (Chemotherapy; cycles),Chemotherapy,cycles,,visit_days,Y,"day 1: Docetaxel, oxaliplatin, leucovorin, then a 5-FU pump worn home for 24 hours"
flot:n6:agents,flot,n6,phase,Durvalumab (Imfinzi),Phase 4 (Immunotherapy; cycles),Immunotherapy,cycles,optional; concurrent,agents,Y,Durvalumab (Imfinzi) [Durvalumab] {Immunotherapy}
flot:n6:cycle_length,flot,n6,phase,Durvalumab (Imfinzi),Phase 4 (Immunotherapy; cycles),Immunotherapy,cycles,optional; concurrent,cycle_length,Y,28 days
flot:n6:n_cycles,flot,n6,phase,Durvalumab (Imfinzi),Phase 4 (Immunotherapy; cycles),Immunotherapy,cycles,optional; concurrent,n_cycles,Y,2
flot:n7:agents,flot,n7,phase,Durvalumab (Imfinzi) alone,Phase 5 (Immunotherapy; cycles),Immunotherapy,cycles,optional,agents,Y,Durvalumab (Imfinzi) alone [Durvalumab alone] {Immunotherapy}
flot:n7:cycle_length,flot,n7,phase,Durvalumab (Imfinzi) alone,Phase 5 (Immunotherapy; cycles),Immunotherapy,cycles,optional,cycle_length,Y,28 days
flot:n7:n_cycles,flot,n7,phase,Durvalumab (Imfinzi) alone,Phase 5 (Immunotherapy; cycles),Immunotherapy,cycles,optional,n_cycles,Y,10
flot:pathway:sequence,flot,pathway,pathway,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",Sequence of steps,,,,sequence,N,FLOT chemotherapy -> Durvalumab (Imfinzi) -> Recovery before surgery -> Surgery (gastrectomy) -> Healing after surgery -> FLOT chemotherapy -> Durvalumab (Imfinzi) -> Durvalumab (Imfinzi) alone
rapido:n0:agents,rapido,n0,phase,Short-course radiation,Phase 1 (Radiation; weekdays),Radiation,weekdays,,agents,Y,Short-course radiation [Radiation (5 days)] {Radiation}
rapido:n0:duration,rapido,n0,phase,Short-course radiation,Phase 1 (Radiation; weekdays),Radiation,weekdays,,duration,Y,1 weeks (weekdays)
rapido:n1:interval_duration,rapido,n1,interval,Short break,Interval: Short break,,,,interval_duration,Y,2 weeks (Short break)
rapido:n2:agents,rapido,n2,phase,CAPOX,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,agents,Y,CAPOX [CAPOX] {Chemotherapy}
rapido:n2:cycle_length,rapido,n2,phase,CAPOX,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,cycle_length,Y,21 days
rapido:n2:n_cycles,rapido,n2,phase,CAPOX,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,n_cycles,Y,6
rapido:n2:visit_days,rapido,n2,phase,CAPOX,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,visit_days,Y,"day 1: Oxaliplatin by IV, then capecitabine tablets twice a day for 14 days"
rapido:n3:interval_duration,rapido,n3,interval,Recovery before surgery,Interval: Recovery before surgery,,,,interval_duration,Y,3 weeks (Recovery before surgery)
rapido:n4:procedure_identity,rapido,n4,procedure,Surgery (rectal resection),Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery (rectal resection) {Surgery}
rapido:n5:interval_duration,rapido,n5,interval,Healing after surgery,Interval: Healing after surgery,,,,interval_duration,Y,6 weeks (Healing after surgery)
rapido:pathway:sequence,rapido,pathway,pathway,"Rectal TNT: short-course radiation, CAPOX, surgery",Sequence of steps,,,,sequence,N,Short-course radiation -> Short break -> CAPOX -> Recovery before surgery -> Surgery (rectal resection) -> Healing after surgery
atomic:n0:procedure_identity,atomic,n0,procedure,Surgery (colectomy),Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery (colectomy) {Surgery}
atomic:n1:interval_duration,atomic,n1,interval,Healing after surgery,Interval: Healing after surgery,,,,interval_duration,Y,5 weeks (Healing after surgery)
atomic:n2:agents,atomic,n2,phase,mFOLFOX6 chemotherapy,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,agents,Y,mFOLFOX6 chemotherapy [FOLFOX] {Chemotherapy}
atomic:n2:cycle_length,atomic,n2,phase,mFOLFOX6 chemotherapy,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,cycle_length,Y,14 days
atomic:n2:n_cycles,atomic,n2,phase,mFOLFOX6 chemotherapy,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,n_cycles,Y,12
